=========================BEGIN==========================
Archiválva 230416.1504: http://web.archive.org/save/https://mandiner.hu/
0. Archiválva 230416.1506: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_jevgenyij_prigozsin_vlagyimir_putyin_orosz_ukran_haboru_kulfold_wagner_konfliktus
1. Archiválva 230416.1507: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_lengyelorszag_oroszorszag_orosz_ukran_konfliktus_mateusz_morawiecki_dmitrij_medvegyev_kulfold
2. Archiválva 230416.1507: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_vizsgalatot_inditananak_a_legyenek_a_kormany_szerint_az_oroszok_olhettek_meg_korabbi_elnokuket
3. Archiválva 230416.1508: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_macron_szavai_osszecsengenek_orban_korabbi_gondolataival_fodor_gabor_a_mandinernek
4. Archiválva 230416.1509: http://web.archive.org/save/https://mandiner.hu/cikk/20230430_munkaszolgalat_munkasorseg_holokauszt
5. Archiválva 230416.1510: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_pressman_szeder_est_zsidosag_csapda_weisz_peter
6. Archiválva 230416.1511: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_finnorszag_atomeromu_kulfold_energia_termeles
7. Archiválva 230416.1512: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_kulfold_harckeszultseg_ellenorzes_haboru
8. Archiválva 230416.1513: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_simet_laszlo_duna_koteltanc
9. Archiválva 230416.1515: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_a_covidhoz_hasonlo_jarvany_pusztithat_10_even_belul
10. Archiválva 230416.1515: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_ukrajna_oryx_nato_fegyverek_veszteseg
11. Archiválva 230416.1515: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_puzser_dalai_lama_nyelvszopkodas_dopeman_kulturak_pedofilia
12. Archiválva 230416.1517: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_telex_fake_news_boros_imre_oroszorszag
13. Archiválva 230416.1517: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_mszp_orsi_gergely_masodik_kerulet_polgarmester_polgarmesterjelolt_dk_gyurcsany_ferenc_belfold
14. Archiválva 230416.1517: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_vidnyanszky_attila_nemzeti_szinhaz_szinhazi_olimpia
15. Archiválva 230416.1518: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_hofi_geza_dktv_vago_istvan_fidesz
16. Archiválva 230416.1519: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_tv_maci
17. Archiválva 230416.1520: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_magyarorszag_tamogatas_beke_kulfold_ukrajna_haboru
18 Egyéb hiba itt 230416.1521: https://mandiner.hu/cikk/20230415_science_fiction_haboru_jovo
19 Egyéb hiba itt 230416.1521: https://mandiner.hu/cikk/20230414_joe_biden_irorszag_nyalas_kutya_hazamenetel_video_kulfold_humor
20. Archiválva 230416.1522: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_gyongyosi_marton_orban_viktor_csicska_belfold_zsido_david_pressman
21. Archiválva 230416.1524: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_kozep_azsia_politikailag_es_kulturalisan_mindig_oroszorszag_fele_orientalodott_wagner_peter_elemzese_a_mandineren
22. Archiválva 230416.1524: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_dmitrij_medvegyev_mateusz_morawiecki_oroszorszag_lengyelorszag_orosz_ukran_haboru
24. Archiválva 230416.1526: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_kapitalis_bakloves_volt_gyongyosi_meghivasa_a_szederestre_reakcio_fodor_gaborral
25. Archiválva 230416.1527: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_szinhazi_olimpia_magyarorszag
23 Egyéb hiba itt 230416.1527: https://mandiner.hu/cikk/20230414_schiffer_pressman
26. Archiválva 230416.1527: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_eszaki_aramlat_donald_trump
27. Archiválva 230416.1528: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_gyurcsany_ferenc_belfold_szolnok
29. Archiválva 230416.1530: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_louis_vuitton_ostrom_szekhaz_parizs_emmanuel_macron_franciaorszag_tuntetes_nyugdijreform
28. Archiválva 230416.1530: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_nemetorszag_atomeromu_kulfold
30 Egyéb hiba itt 230416.1530: https://mandiner.hu/cikk/20230413_orban_viktor_pentagon_iratok_lehallgatas
31 Egyéb hiba itt 230416.1531: https://mandiner.hu/cikk/20230412_kocsis_mate_antifa_gyurcsany_svedorszag_haboru_mandiner_interju
32 Egyéb hiba itt 230416.1532: https://mandiner.hu/cikk/20230414_mesterhazy_attila_velemeny_belfold_baloldal_ellenzek
33. Archiválva 230416.1533: http://web.archive.org/save/https://mandiner.hu/cikk/20230414_rezsicsokkentes_kozvelemeny_kutatas
34. Archiválva 230416.1534: http://web.archive.org/save/https://mandiner.hu/cikk/20230413_kulfold_elon_musk_bbc_ujsagiro_interju
35. Archiválva 230416.1535: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_robert_c_castel_velemeny_orosz_ukran_haboru_kulfold_eu_strategiai_autonomina
37. Archiválva 230416.1537: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_frank_furedi_interju_mcc_liberalizmus_jobboldal_baloldal
36. Archiválva 230416.1537: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_horn_gabor_baloldal_ellenzek_velemeny_belfold_fidesz
38. Archiválva 230416.1537: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_bartus_laszlo_velemeny_deutsch_tamas_kulfold_belfold_usa_haduzenet
39. Archiválva 230416.1538: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_farkas_kiloves_velemeny
40. Archiválva 230416.1539: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_martin_ethelwolf_velemeny_belfold_farkas_vadaszat
41. Archiválva 230416.1540: http://web.archive.org/save/https://mandiner.hu/cikk/20230416_fodor_gabor_1956_orosz_ukran_haboru_kulfold_velemeny
42. Archiválva 230416.1541: http://web.archive.org/save/https://mandiner.hu/cikk/20230415_a_marihuana_tartasa_es_fogyasztasa_mostantol_legalis_nemetorszagban
43 Egyéb hiba itt 230416.1541: https://mandiner.hu/cikk/20230416_paraszka_boroka_baloldal_velemeny_romania_novak_katalin
